frame,frame_time_ms,fps,triangle_count,vertex_count,draw_calls,vram_bytes
0,0.2730,3662.4268,32660,97980,1,0
1,0.2731,3662.0244,32660,97980,1,0
2,0.3069,3258.4222,32660,97980,1,0
3,0.2866,3488.9522,32660,97980,1,0
4,0.2737,3653.1816,32660,97980,1,0
5,0.2771,3608.9227,32660,97980,1,0
6,0.2892,3457.6592,32660,97980,1,0
7,0.2752,3633.3645,32660,97980,1,0
8,0.2703,3699.2098,32660,97980,1,0
9,0.2676,3737.1582,32660,97980,1,0
10,0.2647,3778.4755,32660,97980,1,0
11,0.2706,3695.9286,32660,97980,1,0
12,0.2662,3755.8685,32660,97980,1,0
13,0.5637,1773.8391,32660,97980,1,0
14,0.2701,3702.6478,32660,97980,1,0
15,0.2639,3789.2280,32660,97980,1,0
16,0.2678,3733.9347,32660,97980,1,0
17,0.2790,3583.6642,32660,97980,1,0
18,0.2909,3437.3002,32660,97980,1,0
19,0.2692,3714.6275,32660,97980,1,0
20,0.2757,3627.6836,32660,97980,1,0
21,0.2738,3652.6478,32660,97980,1,0
22,0.2701,3702.0858,32660,97980,1,0
23,0.2664,3753.3170,32660,97980,1,0
24,0.2642,3785.6418,32660,97980,1,0
25,0.2638,3790.5207,32660,97980,1,0
26,0.2717,3679.8528,32660,97980,1,0
27,0.2722,3674.4307,32660,97980,1,0
28,0.2623,3812.8355,32660,97980,1,0
29,0.2613,3827.7365,32660,97980,1,0
30,0.2743,3645.6966,32660,97980,1,0
31,0.2755,3629.7904,32660,97980,1,0
32,0.2638,3790.9661,32660,97980,1,0
33,0.2718,3679.7039,32660,97980,1,0
34,0.2637,3792.3894,32660,97980,1,0
35,0.2654,3767.6278,32660,97980,1,0
36,0.2658,3762.6519,32660,97980,1,0
37,0.2704,3698.3890,32660,97980,1,0
38,0.2738,3652.5011,32660,97980,1,0
39,0.2662,3756.7151,32660,97980,1,0
40,0.2916,3428.7909,32660,97980,1,0
41,0.2669,3746.8339,32660,97980,1,0
42,0.2891,3458.8552,32660,97980,1,0
43,0.2717,3680.9364,32660,97980,1,0
44,0.2712,3687.0437,32660,97980,1,0
45,0.2648,3776.1926,32660,97980,1,0
46,0.2672,3742.3469,32660,97980,1,0
47,0.2661,3758.1269,32660,97980,1,0
48,0.2614,3825.2474,32660,97980,1,0
49,0.2620,3817.2018,32660,97980,1,0
50,0.2706,3695.0955,32660,97980,1,0
51,0.2671,3744.1685,32660,97980,1,0
52,0.2638,3790.5350,32660,97980,1,0
53,0.2608,3834.3558,32660,97980,1,0
54,0.2716,3682.4275,32660,97980,1,0
55,0.2687,3721.5534,32660,97980,1,0
56,0.2601,3844.0987,32660,97980,1,0
57,0.2688,3720.3073,32660,97980,1,0
58,0.2740,3649.7150,32660,97980,1,0
59,0.2624,3811.0773,32660,97980,1,0
60,0.2604,3840.2458,32660,97980,1,0
61,0.2619,3818.3679,32660,97980,1,0
62,0.2614,3825.3937,32660,97980,1,0
63,0.2667,3749.9391,32660,97980,1,0
64,0.2700,3703.4568,32660,97980,1,0
65,0.2657,3763.5016,32660,97980,1,0
66,0.2839,3522.4415,32660,97980,1,0
67,0.3149,3175.9038,32660,97980,1,0
68,0.2896,3453.1102,32660,97980,1,0
69,0.2752,3633.2325,32660,97980,1,0
70,0.2837,3525.0614,32660,97980,1,0
71,0.2776,3601.9032,32660,97980,1,0
72,0.2762,3621.1023,32660,97980,1,0
73,0.3122,3202.9005,32660,97980,1,0
74,0.3513,2846.5699,32660,97980,1,0
75,0.3349,2985.8857,32660,97980,1,0
76,0.3637,2749.3450,32660,97980,1,0
77,0.2995,3338.9762,32660,97980,1,0
78,0.2877,3475.8429,32660,97980,1,0
79,0.2956,3382.6524,32660,97980,1,0
80,0.2866,3488.8427,32660,97980,1,0
81,0.2679,3732.9730,32660,97980,1,0
82,0.2781,3596.1909,32660,97980,1,0
83,0.2852,3506.6187,32660,97980,1,0
84,0.2635,3795.7146,32660,97980,1,0
85,0.2643,3783.0497,32660,97980,1,0
86,0.2624,3810.3512,32660,97980,1,0
87,0.2667,3749.0955,32660,97980,1,0
88,0.2719,3677.6739,32660,97980,1,0
89,0.2831,3532.2958,32660,97980,1,0
90,0.2611,3829.2169,32660,97980,1,0
91,0.2606,3837.1513,32660,97980,1,0
92,0.2905,3442.8623,32660,97980,1,0
93,0.2652,3770.3410,32660,97980,1,0
94,0.2728,3665.6623,32660,97980,1,0
95,0.2754,3631.5172,32660,97980,1,0
96,0.2705,3696.3247,32660,97980,1,0
97,0.2656,3765.3580,32660,97980,1,0
98,0.2662,3756.7151,32660,97980,1,0
99,0.2605,3838.3443,32660,97980,1,0
100,0.2693,3713.6618,32660,97980,1,0
101,0.2811,3557.8579,32660,97980,1,0
102,0.2872,3481.4214,32660,97980,1,0
103,0.2998,3336.0800,32660,97980,1,0
104,0.2992,3342.2236,32660,97980,1,0
105,0.2813,3555.1890,32660,97980,1,0
106,0.2655,3765.7833,32660,97980,1,0
107,0.2669,3747.2692,32660,97980,1,0
108,0.2601,3844.5569,32660,97980,1,0
109,0.2760,3623.7267,32660,97980,1,0
110,0.2778,3600.0749,32660,97980,1,0
111,0.2717,3680.6519,32660,97980,1,0
112,0.3316,3015.8362,32660,97980,1,0
113,0.2741,3648.7695,32660,97980,1,0
114,0.2784,3591.9153,32660,97980,1,0
115,0.2711,3688.4037,32660,97980,1,0
116,0.2585,3868.5318,32660,97980,1,0
117,0.2772,3607.4906,32660,97980,1,0
118,0.2685,3724.0619,32660,97980,1,0
119,0.3127,3197.6772,32660,97980,1,0
120,0.2779,3598.1189,32660,97980,1,0
121,0.2740,3649.1689,32660,97980,1,0
122,0.2660,3759.6812,32660,97980,1,0
123,0.2710,3689.6421,32660,97980,1,0
124,0.3176,3148.2478,32660,97980,1,0
125,0.2970,3366.9127,32660,97980,1,0
126,0.2830,3533.5439,32660,97980,1,0
127,0.2683,3726.5599,32660,97980,1,0
128,0.2703,3699.3467,32660,97980,1,0
129,0.2639,3789.8024,32660,97980,1,0
130,0.2614,3825.1011,32660,97980,1,0
131,0.2598,3848.9962,32660,97980,1,0
132,0.2717,3681.0719,32660,97980,1,0
133,0.2666,3750.6423,32660,97980,1,0
134,0.2645,3780.1895,32660,97980,1,0
135,0.2913,3432.4511,32660,97980,1,0
136,0.2961,3376.9295,32660,97980,1,0
137,0.2896,3453.5872,32660,97980,1,0
138,0.2831,3532.6826,32660,97980,1,0
139,0.3023,3307.4470,32660,97980,1,0
140,0.2791,3583.5230,32660,97980,1,0
141,0.2599,3847.5153,32660,97980,1,0
142,0.2674,3739.1145,32660,97980,1,0
143,0.2610,3830.8305,32660,97980,1,0
144,0.2721,3675.7814,32660,97980,1,0
145,0.2661,3758.1269,32660,97980,1,0
146,0.2692,3714.7654,32660,97980,1,0
147,0.2603,3841.1456,32660,97980,1,0
148,0.2617,3821.4467,32660,97980,1,0
149,0.2799,3572.8832,32660,97980,1,0
150,0.2669,3747.2692,32660,97980,1,0
151,0.2674,3740.0934,32660,97980,1,0
152,0.2688,3720.5841,32660,97980,1,0
153,0.2669,3746.1462,32660,97980,1,0
154,0.2705,3696.8850,32660,97980,1,0
155,0.2885,3465.8201,32660,97980,1,0
156,0.2673,3740.9469,32660,97980,1,0
157,0.2617,3820.5561,32660,97980,1,0
158,0.2688,3719.6154,32660,97980,1,0
159,0.2699,3705.1171,32660,97980,1,0
160,0.2683,3726.9766,32660,97980,1,0
161,0.2621,3815.5997,32660,97980,1,0
162,0.2622,3813.4026,32660,97980,1,0
163,0.2576,3882.3794,32660,97980,1,0
164,0.2602,3843.5077,32660,97980,1,0
165,0.2637,3791.5267,32660,97980,1,0
166,0.2638,3790.0897,32660,97980,1,0
167,0.2604,3839.5233,32660,97980,1,0
168,0.2747,3639.7254,32660,97980,1,0
169,0.2679,3732.4157,32660,97980,1,0
170,0.2652,3770.9097,32660,97980,1,0
171,0.2605,3839.3759,32660,97980,1,0
172,0.2614,3825.6864,32660,97980,1,0
173,0.2585,3869.1305,32660,97980,1,0
174,0.2611,3829.6569,32660,97980,1,0
175,0.2546,3927.9149,32660,97980,1,0
176,0.2628,3805.2619,32660,97980,1,0
177,0.2687,3721.4149,32660,97980,1,0
178,0.2689,3718.6333,32660,97980,1,0
179,0.2613,3827.7365,32660,97980,1,0
180,0.2633,3797.4443,32660,97980,1,0
181,0.2628,3804.8276,32660,97980,1,0
182,0.2563,3902.1040,32660,97980,1,0
183,0.2594,3855.6893,32660,97980,1,0
184,0.2574,3884.9435,32660,97980,1,0
185,0.2560,3906.8452,32660,97980,1,0
186,0.2590,3861.3468,32660,97980,1,0
187,0.2758,3625.8421,32660,97980,1,0
188,0.2628,3805.4067,32660,97980,1,0
189,0.2617,3821.7242,32660,97980,1,0
190,0.2628,3805.8412,32660,97980,1,0
191,0.2598,3849.2925,32660,97980,1,0
192,0.2571,3889.7943,32660,97980,1,0
193,0.2586,3866.5873,32660,97980,1,0
194,0.2647,3777.4621,32660,97980,1,0
195,0.2626,3808.5952,32660,97980,1,0
196,0.2596,3851.9614,32660,97980,1,0
197,0.2601,3844.3943,32660,97980,1,0
198,0.2567,3896.3265,32660,97980,1,0
199,0.2703,3700.1680,32660,97980,1,0
200,0.2729,3664.1848,32660,97980,1,0
201,0.2694,3712.4210,32660,97980,1,0
202,0.2738,3652.1009,32660,97980,1,0
203,0.2450,4081.1329,32660,97980,1,0
204,0.2503,3994.8706,32660,97980,1,0
205,0.2611,3829.9502,32660,97980,1,0
206,0.2749,3638.2555,32660,97980,1,0
207,0.2644,3782.4773,32660,97980,1,0
208,0.2914,3431.2733,32660,97980,1,0
209,0.2751,3635.0814,32660,97980,1,0
210,0.2829,3534.2932,32660,97980,1,0
211,0.3196,3129.4007,32660,97980,1,0
212,0.2854,3503.2896,32660,97980,1,0
213,0.2734,3657.7381,32660,97980,1,0
214,0.2732,3660.6839,32660,97980,1,0
215,0.2642,3784.4814,32660,97980,1,0
216,0.2595,3853.4458,32660,97980,1,0
217,0.2553,3917.4361,32660,97980,1,0
218,0.2543,3931.9304,32660,97980,1,0
219,0.2616,3823.1999,32660,97980,1,0
220,0.2569,3893.2926,32660,97980,1,0
221,0.2569,3892.0804,32660,97980,1,0
222,0.2607,3835.6795,32660,97980,1,0
223,0.2901,3447.3843,32660,97980,1,0
224,0.2981,3354.8041,32660,97980,1,0
225,0.2843,3517.7329,32660,97980,1,0
226,0.2684,3726.1434,32660,97980,1,0
227,0.2696,3709.6529,32660,97980,1,0
228,0.2677,3734.9249,32660,97980,1,0
229,0.2657,3763.7990,32660,97980,1,0
230,0.2635,3794.9944,32660,97980,1,0
231,0.2565,3899.2131,32660,97980,1,0
232,0.2561,3904.8619,32660,97980,1,0
233,0.2534,3945.6137,32660,97980,1,0
234,0.2521,3966.1450,32660,97980,1,0
235,0.2555,3913.2817,32660,97980,1,0
236,0.2541,3935.1952,32660,97980,1,0
237,0.2638,3790.8080,32660,97980,1,0
238,0.2464,4058.2274,32660,97980,1,0
239,0.2592,3858.0693,32660,97980,1,0
240,0.2547,3926.6810,32660,97980,1,0
241,0.2497,4004.3247,32660,97980,1,0
242,0.2545,3929.6128,32660,97980,1,0
243,0.2576,3881.9273,32660,97980,1,0
244,0.2559,3907.6085,32660,97980,1,0
245,0.2539,3938.9153,32660,97980,1,0
246,0.2623,3812.5303,32660,97980,1,0
247,0.2582,3872.4418,32660,97980,1,0
248,0.2622,3814.2753,32660,97980,1,0
249,0.2545,3929.9216,32660,97980,1,0
250,0.2562,3903.4901,32660,97980,1,0
251,0.2598,3849.7371,32660,97980,1,0
252,0.2446,4088.6585,32660,97980,1,0
253,0.2562,3903.3377,32660,97980,1,0
254,0.2503,3994.5674,32660,97980,1,0
255,0.2478,4034.9263,32660,97980,1,0
256,0.2538,3939.3808,32660,97980,1,0
257,0.2536,3942.6580,32660,97980,1,0
258,0.2518,3971.5005,32660,97980,1,0
259,0.2518,3970.7278,32660,97980,1,0
260,0.2595,3853.5942,32660,97980,1,0
261,0.2542,3934.5604,32660,97980,1,0
262,0.2546,3928.0692,32660,97980,1,0
263,0.2589,3861.9433,32660,97980,1,0
264,0.2542,3933.4770,32660,97980,1,0
265,0.2472,4045.5693,32660,97980,1,0
266,0.2463,4060.3861,32660,97980,1,0
267,0.2465,4057.4042,32660,97980,1,0
268,0.2489,4018.0329,32660,97980,1,0
269,0.2497,4005.3030,32660,97980,1,0
270,0.2442,4094.5179,32660,97980,1,0
271,0.2499,4001.9369,32660,97980,1,0
272,0.2502,3996.3234,32660,97980,1,0
273,0.2481,4030.5353,32660,97980,1,0
274,0.2569,3893.1411,32660,97980,1,0
275,0.2813,3554.9362,32660,97980,1,0
276,0.2699,3704.5544,32660,97980,1,0
277,0.2740,3650.1013,32660,97980,1,0
278,0.2618,3819.9869,32660,97980,1,0
279,0.2512,3981.3355,32660,97980,1,0
280,0.2484,4025.1815,32660,97980,1,0
281,0.2489,4018.2105,32660,97980,1,0
282,0.2686,3722.6617,32660,97980,1,0
283,0.2682,3728.2272,32660,97980,1,0
284,0.2480,4032.3231,32660,97980,1,0
285,0.2656,3765.2162,32660,97980,1,0
286,0.2700,3703.3334,32660,97980,1,0
287,0.3046,3282.9725,32660,97980,1,0
288,0.2548,3924.2001,32660,97980,1,0
289,0.2691,3715.4556,32660,97980,1,0
290,0.2574,3885.1095,32660,97980,1,0
291,0.2564,3900.1256,32660,97980,1,0
292,0.2621,3815.2940,32660,97980,1,0
293,0.2397,4171.5335,32660,97980,1,0
294,0.2487,4020.1490,32660,97980,1,0
295,0.2539,3937.9846,32660,97980,1,0
296,0.2733,3659.4782,32660,97980,1,0
297,0.2618,3819.3887,32660,97980,1,0
298,0.2588,3864.4953,32660,97980,1,0
299,0.2621,3814.7118,32660,97980,1,0
