frame,frame_time_ms,fps,triangle_count,vertex_count,draw_calls,vram_bytes
0,0.2758,3626.2365,44654,133962,1,0
1,0.2847,3512.9011,44654,133962,1,0
2,0.2833,3529.6775,44654,133962,1,0
3,0.2838,3524.0676,44654,133962,1,0
4,0.2845,3515.1238,44654,133962,1,0
5,0.3006,3326.4033,44654,133962,1,0
6,0.3315,3017.0190,44654,133962,1,0
7,0.2923,3420.9086,44654,133962,1,0
8,0.2774,3605.5396,44654,133962,1,0
9,0.2756,3627.8283,44654,133962,1,0
10,0.2821,3545.3450,44654,133962,1,0
11,0.2888,3462.5799,44654,133962,1,0
12,0.3005,3327.5213,44654,133962,1,0
13,0.2969,3367.5930,44654,133962,1,0
14,0.2991,3343.6764,44654,133962,1,0
15,0.3050,3278.4413,44654,133962,1,0
16,0.3171,3153.7185,44654,133962,1,0
17,0.2905,3442.2697,44654,133962,1,0
18,0.2836,3525.9315,44654,133962,1,0
19,0.2848,3511.2976,44654,133962,1,0
20,0.2819,3547.8732,44654,133962,1,0
21,0.2784,3592.4315,44654,133962,1,0
22,0.2766,3614.6756,44654,133962,1,0
23,0.2723,3672.8113,44654,133962,1,0
24,0.2791,3583.5230,44654,133962,1,0
25,0.2819,3546.7281,44654,133962,1,0
26,0.2836,3525.6828,44654,133962,1,0
27,0.2815,3552.9153,44654,133962,1,0
28,0.3075,3252.3816,44654,133962,1,0
29,0.2937,3404.4639,44654,133962,1,0
30,0.2830,3533.9186,44654,133962,1,0
31,0.2839,3521.8336,44654,133962,1,0
32,0.2756,3628.2101,44654,133962,1,0
33,0.2751,3635.6101,44654,133962,1,0
34,0.2796,3576.8449,44654,133962,1,0
35,0.2785,3591.1414,44654,133962,1,0
36,0.2782,3594.4975,44654,133962,1,0
37,0.2763,3618.6127,44654,133962,1,0
38,0.2797,3575.1825,44654,133962,1,0
39,0.2859,3497.3962,44654,133962,1,0
40,0.2870,3484.0778,44654,133962,1,0
41,0.2843,3517.1143,44654,133962,1,0
42,0.2785,3590.1100,44654,133962,1,0
43,0.2830,3533.8062,44654,133962,1,0
44,0.2757,3627.1573,44654,133962,1,0
45,0.2790,3584.0367,44654,133962,1,0
46,0.2900,3448.3353,44654,133962,1,0
47,0.2892,3457.7668,44654,133962,1,0
48,0.2765,3617.2906,44654,133962,1,0
49,0.2762,3619.9226,44654,133962,1,0
50,0.3024,3306.4519,44654,133962,1,0
51,0.3234,3092.1651,44654,133962,1,0
52,0.2995,3338.5415,44654,133962,1,0
53,0.2839,3522.5656,44654,133962,1,0
54,0.2826,3539.1841,44654,133962,1,0
55,0.2866,3489.3296,44654,133962,1,0
56,0.2748,3638.5335,44654,133962,1,0
57,0.2792,3581.4823,44654,133962,1,0
58,0.2835,3527.6853,44654,133962,1,0
59,0.2909,3437.8792,44654,133962,1,0
60,0.2837,3525.3100,44654,133962,1,0
61,0.2839,3522.4539,44654,133962,1,0
62,0.2822,3544.0759,44654,133962,1,0
63,0.3049,3279.3014,44654,133962,1,0
64,0.2842,3518.3517,44654,133962,1,0
65,0.2805,3564.9734,44654,133962,1,0
66,0.2800,3571.7347,44654,133962,1,0
67,0.2772,3607.2303,44654,133962,1,0
68,0.2763,3618.7305,44654,133962,1,0
